loan_id,customer_id,origination_date,loan_amount,term_months,interest_rate,loan_grade,purpose,status,last_payment_date,remaining_balance,payments_made,age,annual_income,employment_length_yrs,home_ownership,state,credit_score,is_default,is_delinquent,orig_year,orig_quarter,orig_yrq,income_band,age_band
L00085,B01999,2023-08-05,19900,36,15.34,D,Medical,Current,2024-12-13,11055.56,16,40,47261,0,OWN,CA,647,0,0,2023,3,2023-Q3,2_35K-55K,3_35-44
L00086,B03951,2023-02-17,6400,36,22.22,E,Debt Consolidation,Late (60-89 days),2024-11-14,4338.07,14,48,18666,4,RENT,NY,621,0,1,2023,1,2023-Q1,1_Under 35K,4_45-54
L00087,B01319,2022-07-07,10400,48,20.36,E,Debt Consolidation,Late (90+ days),2024-10-13,6208.13,20,34,24651,1,RENT,VA,637,0,1,2022,3,2022-Q3,1_Under 35K,2_26-34
L00088,B03799,2024-08-03,16900,24,13.63,C,Debt Consolidation,Current,2024-12-11,14083.33,4,30,44224,3,RENT,AL,682,0,0,2024,3,2024-Q3,2_35K-55K,2_26-34
L00089,B02259,2024-02-15,28600,60,7.49,A,Home Improvement,Current,2024-11-30,23833.33,10,21,152561,6,MORTGAGE,FL,742,0,0,2024,1,2024-Q1,5_Over 120K,1_21-25
L00090,B02941,2022-03-26,25300,24,13.17,C,Home Improvement,Fully Paid,2024-08-08,0.0,24,53,129405,6,MORTGAGE,MD,703,0,0,2022,1,2022-Q1,5_Over 120K,4_45-54
L00091,B04062,2022-10-27,22900,24,22.21,E,Personal,Charged Off,2024-09-08,2500.87,16,45,72423,0,RENT,FL,621,1,0,2022,4,2022-Q4,3_55K-80K,4_45-54
L00092,B02053,2021-04-25,17200,36,23.78,E,Debt Consolidation,Charged Off,2024-09-14,2409.62,15,34,60996,9,MORTGAGE,CA,626,1,0,2021,2,2021-Q2,3_55K-80K,2_26-34
L00093,B03853,2022-04-15,22500,60,13.49,C,Personal,Current,2024-12-22,10500.0,32,57,62057,8,MORTGAGE,OR,685,0,0,2022,2,2022-Q2,3_55K-80K,5_55-64
L00094,B00216,2021-03-07,24800,36,10.97,B,Vacation,Fully Paid,2024-07-10,0.0,36,51,48009,3,MORTGAGE,MO,744,0,0,2021,1,2021-Q1,2_35K-55K,4_45-54
L00095,B00786,2022-10-09,23300,36,22.06,E,Medical,Late (60-89 days),2024-07-09,14033.41,20,54,61617,9,MORTGAGE,WA,631,0,1,2022,4,2022-Q4,3_55K-80K,4_45-54
L00096,B01636,2023-04-02,13100,24,14.49,C,Personal,Current,2024-12-08,2183.33,20,37,26083,4,RENT,AZ,703,0,0,2023,2,2023-Q2,1_Under 35K,3_35-44
L00097,B02300,2022-07-03,33700,24,20.99,E,Business,Charged Off,2024-09-12,11319.37,7,23,96460,1,MORTGAGE,AZ,679,1,0,2022,3,2022-Q3,4_80K-120K,1_21-25
L00098,B03753,2021-05-16,5900,48,12.47,C,Vacation,Current,2024-12-04,614.58,43,57,18000,10,RENT,MA,651,0,0,2021,2,2021-Q2,1_Under 35K,5_55-64
L00099,B03110,2022-03-09,9100,36,21.25,E,Personal,Current,2024-12-21,758.33,33,21,47721,5,MORTGAGE,WA,658,0,0,2022,1,2022-Q1,2_35K-55K,1_21-25
L00100,B04324,2024-03-07,14300,48,17.9,D,Debt Consolidation,Current,2024-12-31,11618.75,9,29,34305,8,RENT,TX,676,0,0,2024,1,2024-Q1,1_Under 35K,2_26-34
L00101,B00285,2022-10-07,28100,48,7.33,A,Business,Current,2024-12-11,12879.17,26,67,223098,2,MORTGAGE,CO,812,0,0,2022,4,2022-Q4,5_Over 120K,6_65+
L00102,B03582,2022-03-12,23800,60,16.65,D,Medical,Current,2024-12-16,10710.0,33,57,91672,2,OWN,NY,660,0,0,2022,1,2022-Q1,4_80K-120K,5_55-64
L00103,B02011,2024-09-04,24300,36,12.33,C,Debt Consolidation,Default,2024-10-06,15741.16,1,22,115057,7,MORTGAGE,OH,715,1,0,2024,3,2024-Q3,4_80K-120K,1_21-25
L00104,B02414,2023-10-20,35900,36,16.91,D,Business,Current,2024-12-04,21938.89,14,30,92953,1,MORTGAGE,NJ,675,0,0,2023,4,2023-Q4,4_80K-120K,2_26-34
L00105,B01644,2023-03-22,20600,60,22.04,E,Home Improvement,Current,2024-12-14,13390.0,21,47,71383,9,MORTGAGE,CA,650,0,0,2023,1,2023-Q1,3_55K-80K,4_45-54
L00106,B01128,2024-08-09,40000,48,26.66,F,Debt Consolidation,Default,2024-08-31,27798.98,2,32,82773,4,MORTGAGE,IL,588,1,0,2024,3,2024-Q3,4_80K-120K,2_26-34
L00107,B03473,2023-07-29,15900,36,20.89,E,Debt Consolidation,Current,2024-12-23,8391.67,17,42,34196,1,MORTGAGE,CA,636,0,0,2023,3,2023-Q3,1_Under 35K,3_35-44
L00108,B01270,2021-10-20,5800,36,22.21,E,Debt Consolidation,Fully Paid,2024-09-08,0.0,36,56,20073,4,MORTGAGE,OR,639,0,0,2021,4,2021-Q4,1_Under 35K,5_55-64
L00109,B03779,2022-06-27,3000,60,16.36,D,Home Improvement,Current,2024-12-01,1500.0,30,21,30474,10,RENT,PA,654,0,0,2022,2,2022-Q2,1_Under 35K,1_21-25
L00110,B00644,2021-10-13,14100,36,16.91,D,Personal,Fully Paid,2024-08-05,0.0,36,23,39179,2,RENT,NC,661,0,0,2021,4,2021-Q4,2_35K-55K,1_21-25
L00111,B02779,2022-05-21,14800,60,21.81,E,Home Improvement,Current,2024-12-03,7153.33,31,41,46843,10,MORTGAGE,AL,631,0,0,2022,2,2022-Q2,2_35K-55K,3_35-44
L00112,B00026,2024-02-24,40000,36,17.16,D,Home Improvement,Current,2024-12-09,28888.89,10,43,91983,3,MORTGAGE,MA,672,0,0,2024,1,2024-Q1,4_80K-120K,3_35-44
L00113,B03323,2024-01-09,13100,36,7.93,A,Auto,Current,2024-12-12,9097.22,11,23,37354,2,MORTGAGE,CA,727,0,0,2024,1,2024-Q1,2_35K-55K,1_21-25
L00114,B02046,2022-06-23,18800,36,21.92,E,Debt Consolidation,Current,2024-11-30,3133.33,30,55,40009,8,OWN,FL,540,0,0,2022,2,2022-Q2,2_35K-55K,5_55-64
L00115,B03938,2024-04-12,21900,24,9.72,B,Business,Current,2024-11-26,14600.0,8,26,54569,7,RENT,MI,707,0,0,2024,2,2024-Q2,2_35K-55K,2_26-34
L00116,B01026,2023-05-28,7500,36,20.94,E,Personal,Current,2024-12-25,3541.67,19,47,35017,5,RENT,VA,656,0,0,2023,2,2023-Q2,2_35K-55K,4_45-54
L00117,B03831,2024-04-10,11800,60,14.07,C,Personal,Current,2024-12-20,10226.67,8,39,43549,2,RENT,FL,695,0,0,2024,2,2024-Q2,2_35K-55K,3_35-44
L00118,B01069,2023-03-29,17200,48,13.99,C,Home Improvement,Current,2024-12-26,9675.0,21,36,56966,3,RENT,GA,698,0,0,2023,1,2023-Q1,3_55K-80K,3_35-44
L00119,B00939,2023-01-12,19600,48,26.31,F,Business,Current,2024-12-14,10208.33,23,44,59160,4,RENT,FL,603,0,0,2023,1,2023-Q1,3_55K-80K,3_35-44
L00120,B04099,2022-03-26,8700,48,20.79,E,Debt Consolidation,Late (30-59 days),2024-10-27,5428.23,28,40,27236,4,MORTGAGE,TX,672,0,1,2022,1,2022-Q1,1_Under 35K,3_35-44
L00121,B01473,2021-10-11,30400,36,18.02,D,Debt Consolidation,Fully Paid,2024-07-17,0.0,36,40,71483,6,RENT,CA,637,0,0,2021,4,2021-Q4,3_55K-80K,3_35-44
L00122,B03648,2023-11-10,40000,36,16.6,D,Auto,Current,2024-12-19,25555.56,13,44,122461,7,OWN,TX,668,0,0,2023,4,2023-Q4,5_Over 120K,3_35-44
L00123,B02326,2023-10-08,10700,60,21.83,E,Auto,Late (90+ days),2024-09-25,7897.21,9,50,35291,8,MORTGAGE,TX,634,0,1,2023,4,2023-Q4,2_35K-55K,4_45-54
L00124,B00176,2021-07-06,12100,36,10.73,B,Debt Consolidation,Fully Paid,2024-11-12,0.0,36,51,28869,5,RENT,IL,681,0,0,2021,3,2021-Q3,1_Under 35K,4_45-54
L00125,B01144,2021-04-07,22700,36,13.15,C,Personal,Fully Paid,2024-11-12,0.0,36,43,103523,1,OWN,AZ,689,0,0,2021,2,2021-Q2,4_80K-120K,3_35-44
L00126,B03511,2021-08-13,17700,60,21.38,E,Personal,Current,2024-12-30,5900.0,40,56,41838,5,OWN,CA,617,0,0,2021,3,2021-Q3,2_35K-55K,5_55-64
L00127,B04063,2021-11-10,36000,36,17.16,D,Home Improvement,Fully Paid,2024-07-25,0.0,36,30,81667,7,RENT,IL,671,0,0,2021,4,2021-Q4,4_80K-120K,2_26-34
L00128,B00951,2024-07-09,14500,60,22.07,E,Personal,Default,2024-11-24,8055.41,1,39,38444,2,RENT,CA,674,1,0,2024,3,2024-Q3,2_35K-55K,3_35-44
L00129,B04437,2021-11-24,11500,60,13.27,C,Vacation,Current,2024-12-06,4408.33,37,56,28461,5,RENT,TN,658,0,0,2021,4,2021-Q4,1_Under 35K,5_55-64
L00130,B02745,2023-05-15,30100,36,13.83,C,Vacation,Default,2024-10-08,13272.73,5,21,72000,4,OWN,VA,681,1,0,2023,2,2023-Q2,3_55K-80K,1_21-25
L00131,B00121,2024-05-06,17500,24,14.4,C,Vacation,Default,2024-11-22,5483.12,2,51,38196,4,RENT,CA,705,1,0,2024,2,2024-Q2,2_35K-55K,4_45-54
L00132,B01921,2021-05-11,11200,60,21.42,E,Personal,Current,2024-11-26,3173.33,43,21,26229,2,RENT,FL,663,0,0,2021,2,2021-Q2,1_Under 35K,1_21-25
L00133,B01685,2023-02-28,22500,36,9.58,B,Debt Consolidation,Current,2024-12-15,8750.0,22,27,47400,3,MORTGAGE,CO,688,0,0,2023,1,2023-Q1,2_35K-55K,2_26-34
L00134,B00969,2023-02-21,7500,24,16.2,D,Personal,Current,2024-11-27,625.0,22,41,40959,6,MORTGAGE,MN,681,0,0,2023,1,2023-Q1,2_35K-55K,3_35-44
L00135,B03809,2024-05-05,12500,36,22.01,E,Personal,Late (90+ days),2024-07-16,9717.22,5,49,34453,5,RENT,TX,617,0,1,2024,2,2024-Q2,1_Under 35K,4_45-54
L00136,B03316,2023-08-17,18300,48,20.98,E,Debt Consolidation,Late (90+ days),2024-08-03,10352.82,12,46,53277,0,MORTGAGE,NY,600,0,1,2023,3,2023-Q3,2_35K-55K,4_45-54
L00137,B01105,2023-12-20,22500,48,17.2,D,Personal,Current,2024-12-22,16875.0,12,55,61717,9,MORTGAGE,TX,652,0,0,2023,4,2023-Q4,3_55K-80K,5_55-64
L00138,B04390,2022-05-30,18800,60,16.94,D,Personal,Current,2024-12-08,9086.67,31,49,42409,5,RENT,TX,647,0,0,2022,2,2022-Q2,2_35K-55K,4_45-54
L00139,B02506,2024-02-08,27300,60,24.67,F,Medical,Current,2024-12-06,22750.0,10,32,75155,9,OWN,MA,619,0,0,2024,1,2024-Q1,3_55K-80K,2_26-34
L00140,B03885,2021-01-24,18800,60,21.17,E,Debt Consolidation,Current,2024-12-17,4073.33,47,41,52464,10,MORTGAGE,CT,660,0,0,2021,1,2021-Q1,2_35K-55K,3_35-44
