customer_id,age,annual_income,employment_length_yrs,home_ownership,state,credit_score
B00046,33,67600,6,MORTGAGE,WI,652
B00047,36,46385,2,OWN,MI,652
B00048,54,47497,5,MORTGAGE,MI,721
B00049,46,61439,5,RENT,SC,636
B00050,21,43170,9,MORTGAGE,FL,656
B00051,45,105477,9,RENT,FL,746
B00052,37,77780,4,MORTGAGE,OH,684
B00053,33,79225,0,MORTGAGE,TN,610
B00054,49,28813,9,RENT,PA,666
B00055,54,46926,2,MORTGAGE,NJ,609
B00056,53,41553,7,MORTGAGE,PA,709
B00057,31,28195,0,MORTGAGE,MI,612
B00058,38,59759,4,RENT,MO,782
B00059,45,36471,10,RENT,TX,709
B00060,53,70296,1,MORTGAGE,WA,637
B00061,36,27211,4,MORTGAGE,MA,646
B00062,39,126180,3,MORTGAGE,PA,731
B00063,28,29941,10,MORTGAGE,NY,678
B00064,27,55304,9,RENT,CA,678
B00065,51,75774,3,MORTGAGE,IN,722
B00066,58,35815,1,RENT,NY,645
B00067,41,78343,7,OWN,NY,659
B00068,54,24933,4,RENT,NY,630
B00069,46,108952,7,MORTGAGE,OH,725
B00070,34,49403,0,MORTGAGE,WA,672
B00071,46,35311,1,RENT,MA,661
B00072,60,41583,7,RENT,IL,685
B00073,41,76489,2,RENT,VA,590
B00074,60,35544,9,MORTGAGE,AZ,662
B00075,21,32462,0,RENT,FL,657
B00076,51,43397,2,OWN,CA,721
B00077,43,25659,10,OWN,MN,583
B00078,38,133425,5,MORTGAGE,VA,767
B00079,43,35899,7,MORTGAGE,NJ,653
B00080,21,77450,2,RENT,CA,693
B00081,39,55006,6,MORTGAGE,MO,727
B00082,46,28524,8,MORTGAGE,NC,668
B00083,59,48860,3,OWN,MD,673
B00084,35,75448,9,MORTGAGE,OK,682
B00085,32,44198,6,MORTGAGE,KY,635
B00086,35,94486,4,MORTGAGE,WI,682
B00087,52,85976,6,OWN,CA,649
B00088,45,81259,6,MORTGAGE,CO,673
B00089,35,38070,2,RENT,CA,557
B00090,48,27067,4,RENT,WI,662
B00091,43,34979,4,RENT,FL,644
B00092,53,54607,4,RENT,MI,647
B00093,33,66183,8,RENT,CA,676
B00094,38,18000,5,RENT,MA,582
B00095,37,48802,10,RENT,CA,734
B00096,24,53473,3,MORTGAGE,IL,655
B00097,45,42080,4,RENT,MO,647
B00098,45,99727,8,MORTGAGE,WA,647
B00099,42,61819,6,RENT,CA,665
B00100,39,100770,6,OWN,IL,742
B00101,25,43530,0,RENT,CA,695
B00102,36,82093,4,MORTGAGE,VA,710
B00103,37,120485,3,MORTGAGE,OR,719
B00104,32,100854,10,RENT,NJ,672
B00105,40,26884,3,RENT,FL,587
B00106,46,42637,9,RENT,NY,645
B00107,64,40544,7,MORTGAGE,OK,643
B00108,44,64157,4,MORTGAGE,FL,708
B00109,45,71502,6,RENT,NC,682
B00110,41,30903,9,RENT,IL,711
B00111,21,50884,9,MORTGAGE,MA,706
B00112,41,18000,2,RENT,WI,621
B00113,42,108344,4,MORTGAGE,NY,619
B00114,71,36982,4,RENT,VA,706
B00115,39,50550,0,MORTGAGE,GA,712
B00116,45,41344,6,MORTGAGE,FL,598
B00117,41,92070,9,MORTGAGE,FL,742
B00118,27,18000,4,MORTGAGE,GA,655
B00119,55,48575,8,OWN,TX,663
B00120,51,46249,7,OWN,MO,720
B00121,51,38196,4,RENT,CA,705
B00122,31,126680,2,MORTGAGE,CA,727
B00123,58,30090,7,MORTGAGE,NY,665
B00124,25,74943,9,MORTGAGE,CA,696
B00125,49,59631,7,RENT,OH,647
B00126,68,98109,0,MORTGAGE,IL,682
B00127,30,33963,2,MORTGAGE,AZ,613
B00128,35,32756,1,RENT,KY,635
B00129,43,89575,6,RENT,TN,665
B00130,35,61940,8,RENT,TX,639
B00131,23,20958,1,RENT,AL,647
B00132,42,36438,9,MORTGAGE,IL,637
B00133,29,60627,6,MORTGAGE,PA,684
B00134,47,77712,7,MORTGAGE,IL,608
B00135,30,33739,10,MORTGAGE,FL,644
B00136,60,18000,1,RENT,MN,645
B00137,32,65366,10,MORTGAGE,NY,654
B00138,38,25054,1,RENT,NC,637
B00139,51,18000,4,MORTGAGE,FL,576
B00140,27,18000,9,RENT,IN,654
B00141,44,76702,10,MORTGAGE,MA,699
B00142,57,52614,5,RENT,FL,679
B00143,22,43299,6,RENT,VA,695
B00144,44,105236,7,MORTGAGE,WA,697
B00145,45,69600,9,MORTGAGE,NC,688
B00146,51,119248,1,MORTGAGE,MI,703
B00147,27,22788,9,RENT,NC,670
B00148,26,48098,5,MORTGAGE,CA,593
B00149,48,20146,5,MORTGAGE,VA,605
B00150,45,43210,4,OWN,PA,717
B00151,45,42755,5,MORTGAGE,PA,555
B00152,46,69191,10,OWN,WI,663
B00153,33,50264,6,OWN,CA,705
B00154,44,69069,10,MORTGAGE,FL,665
B00155,45,72178,2,RENT,TX,654
B00156,33,160365,8,RENT,CA,725
B00157,64,41216,9,RENT,FL,639
B00158,47,29214,7,RENT,CT,647
B00159,27,56125,6,RENT,FL,634
B00160,49,31531,6,RENT,VA,692
B00161,30,110755,9,RENT,CA,749
B00162,51,41949,9,RENT,MI,648
B00163,55,35915,1,RENT,CT,594
B00164,32,37826,9,RENT,FL,630
B00165,53,72775,4,MORTGAGE,MD,663
B00166,46,44946,3,MORTGAGE,UT,675
B00167,51,34443,9,RENT,NC,609
B00168,64,122509,5,MORTGAGE,NY,668
B00169,39,30610,9,MORTGAGE,VA,667
B00170,32,49989,3,MORTGAGE,MD,695
B00171,31,70176,0,RENT,TX,644
B00172,32,19985,5,MORTGAGE,PA,587
B00173,41,63840,1,RENT,NY,797
B00174,46,27438,8,RENT,FL,676
B00175,45,77074,3,OWN,WI,662
B00176,51,28869,5,RENT,IL,681
B00177,42,71755,1,MORTGAGE,NY,665
B00178,59,90057,3,MORTGAGE,MI,715
B00179,38,78730,8,MORTGAGE,TX,680
B00180,74,56287,2,RENT,FL,665
B00181,49,43164,7,RENT,GA,649
B00182,31,35702,10,RENT,IL,592
B00183,29,110091,7,OWN,FL,769
B00184,47,33365,9,MORTGAGE,CA,611
B00185,39,27711,1,MORTGAGE,GA,591
B00186,50,70682,3,MORTGAGE,MO,661
B00187,47,31638,9,MORTGAGE,WI,609
B00188,41,29070,8,RENT,FL,644
B00189,31,22159,7,RENT,MI,669
B00190,23,37586,7,RENT,WI,690
B00191,36,46840,4,OWN,IL,688
B00192,52,56033,0,MORTGAGE,AL,649
B00193,44,82720,8,MORTGAGE,MN,678
B00194,27,65499,7,RENT,TX,683
B00195,44,44135,5,MORTGAGE,FL,584
B00196,46,43958,9,MORTGAGE,TX,677
B00197,31,64898,4,OWN,TX,608
B00198,43,98707,3,MORTGAGE,MN,767
B00199,42,52547,9,RENT,AL,643
B00200,28,37872,8,RENT,CA,643
B00201,46,28393,5,RENT,NC,615
B00202,48,22139,1,RENT,NC,617
B00203,54,70717,2,MORTGAGE,IL,760
B00204,54,67365,7,RENT,NJ,705
B00205,25,67342,4,MORTGAGE,LA,605
B00206,30,45671,9,MORTGAGE,TX,715
B00207,48,106278,10,RENT,CA,737
B00208,48,37561,9,MORTGAGE,CA,639
B00209,48,82900,4,MORTGAGE,NY,688
B00210,75,47987,8,RENT,NY,656
B00211,48,35080,4,OWN,IL,728
B00212,55,67906,2,MORTGAGE,OH,636
B00213,53,61408,0,OWN,TN,670
B00214,49,59655,4,MORTGAGE,IL,646
B00215,38,51261,10,MORTGAGE,NY,601
B00216,51,48009,3,MORTGAGE,MO,744
B00217,32,182335,2,MORTGAGE,WI,685
B00218,39,94027,10,RENT,FL,691
B00219,36,72951,0,MORTGAGE,NY,601
B00220,42,52129,8,RENT,MO,643
B00221,69,85300,3,MORTGAGE,CA,694
B00222,21,65179,0,MORTGAGE,NY,633
B00223,50,49732,10,OWN,PA,681
B00224,22,41483,1,RENT,TX,642
B00225,36,46886,6,OWN,TX,702
B00226,55,18000,3,RENT,IL,694
B00227,42,55040,1,MORTGAGE,TN,637
B00228,29,37471,0,MORTGAGE,MD,654
B00229,33,117708,1,MORTGAGE,OK,703
B00230,50,49545,1,RENT,CA,682
B00231,33,25490,8,RENT,TX,644
B00232,44,47694,5,MORTGAGE,TN,664
B00233,42,27574,4,MORTGAGE,GA,635
B00234,34,63600,4,MORTGAGE,NY,670
B00235,67,57527,10,RENT,TX,714
B00236,49,83017,10,MORTGAGE,FL,702
B00237,21,31729,8,OWN,IL,675
B00238,44,49946,9,MORTGAGE,TX,687
B00239,34,23138,3,MORTGAGE,OR,636
B00240,52,72100,4,RENT,CA,683
B00241,32,65210,6,MORTGAGE,CT,623
B00242,40,64388,7,RENT,MD,716
B00243,48,49064,5,MORTGAGE,IL,546
B00244,52,61582,4,MORTGAGE,AZ,661
B00245,27,118466,10,MORTGAGE,VA,742
B00246,37,41906,9,MORTGAGE,TX,599
B00247,36,52905,5,RENT,NY,675
B00248,34,26974,8,RENT,OH,617
B00249,63,30407,3,RENT,NJ,632
B00250,46,51730,1,RENT,GA,696
B00251,26,89963,4,MORTGAGE,PA,688
B00252,53,42575,4,RENT,PA,572
B00253,67,43055,0,MORTGAGE,OH,615
B00254,54,39191,9,RENT,PA,691
B00255,23,36529,4,MORTGAGE,GA,668
B00256,36,57655,6,MORTGAGE,CO,732
B00257,57,21515,1,RENT,NJ,709
B00258,33,99162,2,RENT,AZ,672
B00259,47,33996,9,RENT,MI,749
B00260,51,72914,6,MORTGAGE,NJ,671
B00261,30,24379,10,RENT,NC,605
B00262,41,70817,10,OWN,CA,644
B00263,21,70938,4,MORTGAGE,UT,579
B00264,29,60555,3,RENT,CA,728
B00265,38,28369,9,MORTGAGE,IL,709
B00266,27,56232,10,OWN,CA,621
B00267,61,25573,7,MORTGAGE,CA,635
B00268,24,42658,8,MORTGAGE,IN,657
B00269,36,86351,8,MORTGAGE,IL,640
B00270,43,75977,4,MORTGAGE,IN,602
B00271,59,49431,6,RENT,FL,649
B00272,24,28677,9,MORTGAGE,FL,633
B00273,55,69917,7,OWN,FL,653
B00274,42,49546,0,RENT,MI,666
B00275,30,18000,4,MORTGAGE,MO,697
B00276,47,75391,2,OWN,PA,660
B00277,44,48371,3,RENT,NY,664
B00278,34,94973,10,MORTGAGE,OK,712
B00279,42,26838,0,RENT,CA,667
B00280,37,18000,2,RENT,OH,615
B00281,43,57153,3,MORTGAGE,IL,666
B00282,49,57547,6,MORTGAGE,CA,684
B00283,61,19343,6,RENT,FL,595
B00284,27,28618,2,MORTGAGE,CA,696
B00285,67,223098,2,MORTGAGE,CO,812
B00286,21,41436,3,RENT,MI,624
B00287,40,73278,5,MORTGAGE,MO,678
B00288,49,34273,3,RENT,GA,674
B00289,45,18000,10,MORTGAGE,MI,618
B00290,34,44638,5,MORTGAGE,WA,674
B00291,39,42358,0,RENT,MN,660
B00292,36,39342,8,MORTGAGE,CA,593
B00293,34,46025,3,MORTGAGE,NY,674
B00294,52,56689,7,RENT,WA,617
B00295,46,45136,3,MORTGAGE,KY,692
B00296,33,24460,6,RENT,CT,616
B00297,52,64048,8,MORTGAGE,NJ,659
B00298,45,18000,10,RENT,TX,695
B00299,51,18000,3,OWN,CA,659
B00300,49,73610,4,MORTGAGE,LA,628
B00301,32,64787,5,MORTGAGE,IL,625
B00302,35,47497,10,MORTGAGE,TX,632
B00303,50,22754,10,OWN,AL,658
B00304,49,33211,1,MORTGAGE,CA,663
B00305,41,42424,1,MORTGAGE,AZ,620
B00306,43,20378,5,RENT,MI,594
B00307,57,32647,1,MORTGAGE,CA,659
B00308,34,70177,4,MORTGAGE,NY,662
B00309,48,107475,2,MORTGAGE,TX,776
B00310,39,38921,7,MORTGAGE,MI,653
B00311,39,74315,10,RENT,OH,744
B00312,55,18000,10,RENT,CA,593
B00313,51,70452,4,RENT,OK,606
B00314,51,31502,6,OWN,NY,602
B00315,57,58048,9,MORTGAGE,FL,710
B00316,42,42776,1,MORTGAGE,FL,724
B00317,50,101339,7,MORTGAGE,TX,655
B00318,38,30304,4,MORTGAGE,UT,628
B00319,45,69229,2,MORTGAGE,FL,622
B00320,40,42035,4,MORTGAGE,IL,581
B00321,43,44933,1,RENT,CO,684
B00322,49,44306,7,MORTGAGE,NJ,663
B00323,32,30787,3,MORTGAGE,NY,647
B00324,67,48642,3,MORTGAGE,MN,601
B00325,29,47360,1,MORTGAGE,TN,722
B00326,27,55976,9,MORTGAGE,FL,641
B00327,55,51352,5,RENT,NJ,680
B00328,51,76031,6,RENT,SC,614
B00329,49,81465,6,MORTGAGE,OH,668
B00330,49,27505,4,RENT,AZ,657
B00331,41,79049,2,RENT,OK,687
B00332,31,25527,8,RENT,WA,650
B00333,42,67732,1,MORTGAGE,CA,687
B00334,33,68930,1,MORTGAGE,FL,623
B00335,53,18000,8,RENT,NC,648
B00336,40,51592,2,MORTGAGE,FL,663
B00337,32,37885,3,MORTGAGE,KY,660
B00338,38,32295,5,RENT,IL,651
B00339,46,103049,5,MORTGAGE,PA,637
B00340,35,34216,7,MORTGAGE,WA,596
B00341,32,31460,7,OWN,GA,559
B00342,44,51104,7,RENT,NY,691
B00343,44,71472,8,MORTGAGE,CA,703
B00344,35,45346,3,RENT,MI,689
B00345,36,93106,3,RENT,WI,694
B00346,44,65646,5,OWN,VA,581
B00347,24,18000,3,MORTGAGE,NY,599
B00348,25,36636,10,MORTGAGE,TX,657
B00349,33,35989,9,MORTGAGE,MO,655
B00350,39,63808,2,RENT,LA,656
B00351,45,18000,0,MORTGAGE,IL,654
B00352,59,199178,0,RENT,AZ,742
B00353,52,65648,3,OWN,IL,671
B00354,40,53203,1,MORTGAGE,OH,634
B00355,41,93888,6,MORTGAGE,MD,722
B00356,29,177905,9,MORTGAGE,CA,712
B00357,41,79135,8,MORTGAGE,GA,621
B00358,38,82606,2,MORTGAGE,TX,645
B00359,45,52674,4,MORTGAGE,NY,645
B00360,32,45349,5,MORTGAGE,NJ,695
B00361,48,37733,9,MORTGAGE,CA,649
B00362,60,31121,9,MORTGAGE,NC,640
B00363,40,33595,10,RENT,FL,598
B00364,46,23322,5,RENT,VA,674
B00365,50,47017,7,RENT,TX,630
B00366,37,19407,1,RENT,AZ,636
B00367,44,54448,6,MORTGAGE,NJ,719
B00368,42,48050,3,OWN,OK,677
B00369,43,53146,5,MORTGAGE,SC,594
B00370,32,36784,7,RENT,FL,579
B00371,42,266271,3,MORTGAGE,CA,777
B00372,47,103576,0,MORTGAGE,NJ,639
B00373,59,24723,0,RENT,MI,669
B00374,53,55719,0,MORTGAGE,CA,663
B00375,67,35087,0,RENT,TX,656
B00376,32,28058,1,RENT,NC,617
B00377,52,23457,3,RENT,SC,712
B00378,44,62175,2,MORTGAGE,MN,778
B00379,68,33699,10,MORTGAGE,TX,637
B00380,32,83475,3,MORTGAGE,IL,691
B00381,31,84675,1,RENT,CA,681
B00382,34,104365,6,MORTGAGE,PA,678
B00383,21,30674,9,MORTGAGE,TN,613
B00384,35,63668,7,MORTGAGE,IN,622
B00385,32,69414,3,MORTGAGE,OH,623
B00386,43,37767,6,MORTGAGE,CA,667
B00387,46,32065,8,RENT,NY,627
B00388,64,118804,8,RENT,AL,593
B00389,53,55554,7,RENT,FL,679
B00390,35,69548,9,MORTGAGE,NY,667
B00391,31,31190,9,MORTGAGE,AZ,701
B00392,47,25069,6,OWN,AZ,659
B00393,26,35839,4,MORTGAGE,SC,591
B00394,63,45788,7,OWN,IL,566
B00395,56,27301,9,MORTGAGE,OH,616
B00396,36,48756,0,RENT,PA,632
B00397,21,19366,10,RENT,SC,678
B00398,58,26475,2,RENT,MA,644
B00399,40,70898,5,MORTGAGE,MD,715
B00400,56,68328,9,RENT,TX,615
B00401,22,39516,2,MORTGAGE,IN,690
B00402,34,28007,5,RENT,IL,674
B00403,42,27859,1,RENT,CA,564
B00404,42,39922,4,MORTGAGE,CA,705
B00405,36,69876,2,MORTGAGE,VA,673
B00406,49,81677,4,RENT,NY,691
B00407,29,37305,4,RENT,WI,616
B00408,40,25992,10,MORTGAGE,AZ,695
B00409,43,56801,10,OWN,CA,614
B00410,48,31165,1,RENT,WA,680
B00411,50,36862,8,RENT,TX,683
B00412,28,101610,0,OWN,IL,648
B00413,23,77258,0,RENT,MI,752
B00414,57,53470,1,MORTGAGE,CO,669
B00415,45,24353,10,MORTGAGE,PA,669
B00416,33,55064,10,RENT,MO,599
B00417,60,87944,2,MORTGAGE,MA,764
B00418,43,39870,2,MORTGAGE,IL,603
B00419,56,103064,3,MORTGAGE,OH,728
B00420,42,99808,5,RENT,WA,646
B00421,66,122400,6,OWN,CA,674
B00422,63,57981,2,MORTGAGE,MN,694
B00423,39,67715,8,RENT,MA,709
B00424,53,106702,3,RENT,FL,639
B00425,49,62696,10,MORTGAGE,CT,708
B00426,58,37209,7,RENT,TX,692
B00427,30,38303,5,RENT,SC,614
B00428,50,55893,8,OWN,NY,725
B00429,54,24105,9,MORTGAGE,TN,585
B00430,21,45306,3,RENT,PA,630
B00431,27,89599,4,MORTGAGE,AZ,699
B00432,21,18000,10,OWN,TX,605
B00433,38,114001,2,MORTGAGE,FL,704
B00434,50,90880,0,OWN,CA,690
B00435,60,38068,5,RENT,WI,643
B00436,42,66096,9,MORTGAGE,FL,700
B00437,61,49105,8,OWN,WA,648
B00438,25,96422,10,MORTGAGE,MO,693
B00439,21,84160,6,MORTGAGE,MN,723
B00440,41,22696,1,RENT,CA,674
B00441,46,67710,6,OWN,MN,699
B00442,41,43778,8,MORTGAGE,TX,608
B00443,21,51305,1,OWN,AZ,679
B00444,40,32843,2,RENT,AZ,613
B00445,26,128216,0,MORTGAGE,CA,650
B00446,50,86858,6,MORTGAGE,TX,675
B00447,46,32634,9,RENT,OH,612
B00448,30,23528,7,OWN,IL,674
B00449,35,39651,10,MORTGAGE,SC,684
B00450,29,62253,1,RENT,NY,588
B00451,41,55944,10,RENT,AL,628
B00452,53,97657,9,MORTGAGE,PA,626
B00453,30,75694,3,RENT,OR,654
B00454,48,83555,10,MORTGAGE,AZ,695
B00455,35,58675,3,RENT,MD,653
B00456,32,22831,9,RENT,CA,619
B00457,40,44018,9,RENT,NC,706
B00458,29,87820,8,MORTGAGE,TX,587
B00459,35,47651,6,MORTGAGE,FL,706
B00460,27,64647,1,RENT,MI,644
B00461,65,41138,6,RENT,AZ,650
B00462,42,27822,4,MORTGAGE,CA,624
B00463,33,45805,8,OWN,GA,717
B00464,44,58103,8,MORTGAGE,NC,613
B00465,40,34179,10,MORTGAGE,CA,649
B00466,39,43060,0,MORTGAGE,OH,675
B00467,49,29240,9,MORTGAGE,WA,582
B00468,51,90724,10,OWN,CA,644
B00469,35,41691,8,MORTGAGE,TN,647
B00470,35,108990,1,MORTGAGE,NC,655
B00471,38,113642,1,MORTGAGE,MD,661
B00472,21,46883,0,RENT,TX,642
B00473,23,28151,7,MORTGAGE,MD,671
B00474,58,18000,7,MORTGAGE,CA,626
B00475,61,21815,10,MORTGAGE,IL,685
B00476,39,23026,4,RENT,TX,603
B00477,48,104627,4,RENT,CO,638
B00478,45,52245,7,MORTGAGE,WA,736
B00479,75,60735,9,OWN,CA,637
B00480,55,18000,10,RENT,CA,587
B00481,40,25364,9,MORTGAGE,FL,574
B00482,30,79849,4,RENT,TX,717
B00483,22,57395,7,OWN,NJ,648
B00484,44,45208,9,RENT,VA,645
B00485,32,66880,5,RENT,LA,661
B00486,24,120534,2,OWN,KY,738
B00487,34,43409,2,RENT,VA,647
B00488,29,50927,0,RENT,CA,752
B00489,62,54498,8,MORTGAGE,NY,666
B00490,52,182710,1,MORTGAGE,OH,775
B00491,41,18000,3,RENT,OH,672
B00492,59,71379,3,OWN,MI,668
B00493,42,46021,6,RENT,OR,632
B00494,31,66951,4,MORTGAGE,CO,680
B00495,60,34147,7,MORTGAGE,CA,669
B00496,48,47718,0,RENT,FL,633
B00497,29,72495,1,OWN,MD,677
B00498,39,271604,5,MORTGAGE,MO,832
B00499,31,76452,4,MORTGAGE,FL,755
B00500,25,30747,3,RENT,AZ,681
B00501,53,38829,1,OWN,VA,726
B00502,64,38201,9,MORTGAGE,PA,626
B00503,25,18258,7,MORTGAGE,TX,668
B00504,48,40882,1,RENT,CO,706
B00505,34,73354,1,MORTGAGE,VA,635
B00506,36,24322,10,RENT,TX,624
B00507,34,87261,7,MORTGAGE,WA,748
B00508,31,64104,4,MORTGAGE,AZ,627
B00509,42,32734,7,RENT,CO,594
B00510,32,45349,8,MORTGAGE,FL,716
B00511,45,118075,8,OWN,CT,744
B00512,41,73383,5,RENT,TX,688
B00513,39,49258,4,OWN,MI,655
B00514,31,43013,0,MORTGAGE,VA,636
B00515,35,51130,10,RENT,IL,670
B00516,51,36994,6,MORTGAGE,OH,714
B00517,48,18000,2,RENT,MN,649
B00518,30,150722,10,MORTGAGE,NJ,801
B00519,43,53392,10,RENT,OH,624
B00520,51,61021,10,MORTGAGE,TX,663
B00521,21,47484,9,RENT,CA,641
B00522,48,32718,10,RENT,TX,604
B00523,34,44255,3,RENT,KY,648
B00524,48,20339,9,RENT,TN,658
B00525,32,171510,9,MORTGAGE,OR,747
B00526,21,24860,3,OWN,CA,730
B00527,22,27789,1,RENT,VA,664
B00528,42,38478,10,RENT,CA,697
B00529,45,99552,3,MORTGAGE,MA,688
B00530,31,49413,9,RENT,NY,724
B00531,49,24837,0,MORTGAGE,CA,739
B00532,22,97722,0,MORTGAGE,NC,706
B00533,41,73280,5,OWN,FL,631
B00534,27,65916,3,MORTGAGE,VA,645
B00535,34,72667,7,MORTGAGE,VA,682
B00536,42,182937,6,MORTGAGE,WA,751
B00537,31,163048,1,MORTGAGE,UT,749
B00538,37,33600,2,RENT,IL,667
B00539,54,119747,4,MORTGAGE,PA,697
B00540,35,60520,2,MORTGAGE,IN,638
B00541,52,64505,8,RENT,NC,682
B00542,28,19326,4,RENT,CA,715
B00543,48,44635,1,RENT,MD,695
B00544,59,31349,5,RENT,CA,669
B00545,21,77298,1,RENT,TX,714
B00546,32,88352,1,MORTGAGE,CA,664
B00547,48,18000,3,RENT,CA,619
B00548,39,48430,9,RENT,CA,627
B00549,46,90855,10,MORTGAGE,CA,676
B00550,34,44237,9,RENT,PA,638
B00551,43,73202,4,RENT,FL,719
B00552,40,59464,3,RENT,TX,644
B00553,56,59154,6,RENT,VA,631
B00554,45,42225,8,MORTGAGE,FL,731
B00555,46,25106,10,OWN,CA,626
B00556,37,26453,1,RENT,IL,651
B00557,36,72413,0,OWN,NY,688
B00558,36,49548,7,RENT,NY,612
B00559,46,45425,9,MORTGAGE,PA,704
B00560,36,38826,9,RENT,VA,677
B00561,45,41445,7,OWN,MI,715
B00562,66,87186,10,OWN,AL,651
B00563,52,40766,5,RENT,GA,656
B00564,38,23445,10,MORTGAGE,PA,644
B00565,56,73792,10,MORTGAGE,TX,682
B00566,37,43796,9,MORTGAGE,TN,596
B00567,21,49874,3,RENT,TX,662
B00568,29,118677,2,MORTGAGE,OH,639
B00569,21,48469,6,MORTGAGE,IL,671
B00570,37,57471,5,MORTGAGE,VA,577
B00571,42,25631,9,RENT,SC,570
B00572,62,43441,1,MORTGAGE,LA,687
B00573,45,68544,3,RENT,TX,646
B00574,39,20838,8,OWN,FL,602
B00575,51,54746,1,RENT,MO,711
B00576,21,51815,3,MORTGAGE,GA,672
B00577,44,50146,4,MORTGAGE,PA,693
B00578,51,86719,7,OWN,WA,672
B00579,24,58920,2,MORTGAGE,MI,770
B00580,55,110518,9,RENT,OK,667
B00581,46,28382,5,RENT,NC,715
B00582,37,52825,10,RENT,PA,657
B00583,49,51351,5,RENT,GA,592
B00584,69,27225,3,MORTGAGE,MO,664
B00585,44,82947,2,RENT,MI,689
B00586,44,176058,0,MORTGAGE,NJ,686
B00587,36,48564,6,MORTGAGE,OK,620
B00588,31,64715,1,MORTGAGE,MI,665
B00589,51,51353,4,MORTGAGE,NY,672
B00590,31,33107,6,RENT,WA,549
B00591,42,18008,3,MORTGAGE,VA,682
B00592,36,33250,2,RENT,CA,628
B00593,47,22797,8,MORTGAGE,PA,589
B00594,46,125148,10,MORTGAGE,AZ,738
B00595,54,46013,1,MORTGAGE,OH,654
B00596,35,40527,2,RENT,MA,701
B00597,38,79940,10,MORTGAGE,PA,692
B00598,30,26450,0,MORTGAGE,CT,644
B00599,36,32151,10,MORTGAGE,FL,641
B00600,46,50890,0,RENT,CA,677
B00601,51,86320,9,MORTGAGE,IL,662
B00602,30,64597,3,RENT,GA,632
B00603,52,56194,10,MORTGAGE,NY,686
B00604,58,51172,3,MORTGAGE,FL,653
B00605,46,61091,7,RENT,VA,665
B00606,64,54770,1,RENT,NY,704
B00607,32,27820,3,MORTGAGE,NJ,641
B00608,27,50279,8,RENT,MA,658
B00609,21,27159,5,RENT,TN,621
B00610,59,51256,10,MORTGAGE,NY,676
B00611,49,37633,4,MORTGAGE,NC,665
B00612,41,198126,9,MORTGAGE,PA,777
B00613,45,47956,5,RENT,CO,633
B00614,28,22644,10,RENT,CO,624
B00615,71,45533,10,MORTGAGE,NY,687
B00616,43,65228,3,MORTGAGE,CA,676
B00617,43,123050,9,MORTGAGE,TX,662
B00618,50,35447,9,MORTGAGE,NY,702
B00619,47,20530,2,RENT,NC,573
B00620,44,76823,7,RENT,VA,704
B00621,32,22940,1,MORTGAGE,NY,592
B00622,47,38565,9,RENT,VA,727
B00623,64,42544,2,MORTGAGE,AL,592
B00624,58,47178,1,MORTGAGE,NJ,702
B00625,61,71613,4,MORTGAGE,TX,667
B00626,35,33657,6,RENT,NC,634
B00627,30,42169,9,RENT,GA,661
B00628,40,48637,10,MORTGAGE,CO,682
B00629,42,53224,5,MORTGAGE,NY,623
B00630,55,51730,1,OWN,IL,626
B00631,21,62305,8,MORTGAGE,MI,691
