loan_id,status,last_payment_date,remaining_balance,payments_made
L00135,Late (90+ days),2024-07-16,9717.22,5
L00136,Late (90+ days),2024-08-03,10352.82,12
L00137,Current,2024-12-22,16875.0,12
L00138,Current,2024-12-08,9086.67,31
L00139,Current,2024-12-06,22750.0,10
L00140,Current,2024-12-17,4073.33,47
L00141,Fully Paid,2024-07-04,0.0,24
L00142,Current,2024-12-13,8633.33,11
L00143,Current,2024-12-23,4258.33,29
L00144,Current,2024-12-02,18666.67,4
L00145,Current,2024-11-29,7700.0,25
L00146,Fully Paid,2024-07-24,0.0,36
L00147,Current,2024-12-26,6933.33,28
L00148,Late (90+ days),2024-08-22,8190.4,13
L00149,Current,2024-12-08,4216.67,37
L00150,Default,2024-07-26,3148.49,2
L00151,Fully Paid,2024-11-29,0.0,36
L00152,Current,2024-12-16,1316.67,30
L00153,Current,2024-12-21,22305.56,14
L00154,Default,2024-07-23,17077.97,5
L00155,Current,2024-12-23,6031.67,13
L00156,Current,2024-12-03,1950.0,40
L00157,Current,2024-12-21,25230.56,5
L00158,Current,2024-12-20,6325.0,27
L00159,Default,2024-07-10,13329.53,2
L00160,Current,2024-12-22,9647.22,13
L00161,Current,2024-12-01,10237.5,6
L00162,Current,2024-12-09,711.11,34
L00163,Current,2024-12-29,7562.5,37
L00164,Current,2024-12-17,1316.67,22
L00165,Current,2024-11-30,3277.08,37
L00166,Current,2024-12-17,6629.17,11
L00167,Current,2024-12-27,23733.33,12
L00168,Current,2024-12-15,2535.0,47
L00169,Default,2024-08-29,9365.27,3
L00170,Current,2024-12-17,4033.33,26
L00171,Default,2024-11-21,10349.88,4
L00172,Current,2024-12-18,3920.0,46
L00173,Current,2024-11-28,6666.67,40
L00174,Default,2024-08-31,1158.17,13
L00175,Current,2024-12-07,2925.0,27
L00176,Fully Paid,2024-08-03,0.0,24
L00177,Fully Paid,2024-08-07,0.0,36
L00178,Late (60-89 days),2024-11-20,12828.3,21
L00179,Current,2024-12-29,14175.0,9
L00180,Current,2024-12-11,3780.0,42
L00181,Fully Paid,2024-11-05,0.0,36
L00182,Current,2024-11-28,12075.0,15
L00183,Current,2024-12-14,6743.33,43
L00184,Current,2024-12-15,5050.0,12
L00185,Current,2024-11-27,6581.25,39
L00186,Late (30-59 days),2024-07-09,5167.28,33
L00187,Late (60-89 days),2024-10-18,10223.95,2
L00188,Current,2024-12-07,22725.0,15
L00189,Late (60-89 days),2024-08-27,24012.28,7
L00190,Default,2024-08-30,7956.52,15
L00191,Current,2024-12-27,2266.67,30
L00192,Current,2024-11-28,6900.0,12
L00193,Current,2024-12-15,26323.33,7
L00194,Current,2024-12-07,5666.67,19
L00195,Current,2024-12-17,425.0,33
L00196,Current,2024-11-28,10945.83,11
L00197,Current,2024-12-06,5191.67,34
L00198,Current,2024-12-09,9083.33,26
L00199,Current,2024-12-09,8662.5,21
L00200,Current,2024-11-30,20075.0,4
L00201,Late (90+ days),2024-07-31,16593.53,18
L00202,Current,2024-12-31,6300.0,18
L00203,Current,2024-11-29,5366.67,13
L00204,Current,2024-12-23,3422.92,17
L00205,Late (90+ days),2024-08-11,2321.51,28
L00206,Current,2024-12-21,2194.44,31
L00207,Late (90+ days),2024-10-04,3118.32,23
L00208,Fully Paid,2024-11-12,0.0,36
L00209,Late (90+ days),2024-07-23,24338.73,20
L00210,Late (90+ days),2024-09-21,5838.83,37
L00211,Current,2024-12-18,21416.67,8
L00212,Current,2024-12-22,13916.67,10
L00213,Current,2024-12-20,2100.0,32
L00214,Default,2024-10-22,4341.96,4
L00215,Current,2024-12-08,1216.67,33
L00216,Current,2024-12-24,297.92,47
L00217,Fully Paid,2024-10-04,0.0,36
L00218,Default,2024-08-17,1922.93,1
L00219,Charged Off,2024-09-08,4649.41,26
L00220,Default,2024-11-02,8016.61,10
L00221,Fully Paid,2024-07-31,0.0,36
L00222,Default,2024-08-01,4006.76,10
L00223,Current,2024-12-01,3452.78,25
L00224,Charged Off,2024-10-09,2952.19,27
L00225,Current,2024-12-21,10810.0,13
L00226,Current,2024-12-05,4108.33,31
L00227,Late (60-89 days),2024-11-26,3522.41,21
L00228,Current,2024-12-16,7641.67,15
L00229,Current,2024-12-29,525.0,33
L00230,Default,2024-10-30,8360.92,2
L00231,Late (60-89 days),2024-07-08,2648.34,34
L00232,Current,2024-12-21,3975.0,9
L00233,Current,2024-12-23,8840.0,9
L00234,Current,2024-11-29,6777.78,16
L00235,Current,2024-12-29,138.89,31
L00236,Late (60-89 days),2024-07-08,3915.71,9
L00237,Current,2024-12-22,17777.78,20
L00238,Current,2024-12-28,1416.67,35
L00239,Current,2024-12-21,802.08,41
L00240,Fully Paid,2024-09-26,0.0,24
L00241,Late (90+ days),2024-10-16,4371.24,2
L00242,Current,2024-11-28,14950.0,18
L00243,Current,2024-12-06,22020.0,24
L00244,Current,2024-12-30,5855.56,19
L00245,Current,2024-12-13,4444.44,20
L00246,Current,2024-12-26,5833.33,16
L00247,Default,2024-10-07,5336.42,21
L00248,Current,2024-12-03,35555.56,4
L00249,Default,2024-08-03,4126.86,1
L00250,Default,2024-07-31,22364.83,4
L00251,Fully Paid,2024-10-19,0.0,36
L00252,Current,2024-12-17,3688.89,20
L00253,Current,2024-12-05,4983.33,25
L00254,Current,2024-12-22,5000.0,40
L00255,Fully Paid,2024-07-05,0.0,24
L00256,Current,2024-12-20,175.0,35
L00257,Fully Paid,2024-07-24,0.0,24
L00258,Current,2024-12-15,11483.33,11
L00259,Current,2024-12-21,11172.92,17
L00260,Default,2024-09-05,3135.11,4
L00261,Current,2024-12-02,5679.17,19
L00262,Current,2024-12-27,225.0,35
L00263,Current,2024-12-17,18135.0,29
L00264,Current,2024-12-07,7555.56,16
L00265,Current,2024-12-07,4930.0,31
L00266,Fully Paid,2024-10-29,0.0,36
L00267,Current,2024-12-25,23250.0,18
L00268,Current,2024-12-30,6716.67,10
L00269,Charged Off,2024-10-11,590.25,19
L00270,Current,2024-11-28,2400.0,44
L00271,Current,2024-11-29,12000.0,4
L00272,Late (90+ days),2024-08-16,6699.73,8
L00273,Default,2024-10-24,16803.57,28
L00274,Current,2024-12-25,1020.83,41
L00275,Current,2024-12-20,6133.33,32
L00276,Fully Paid,2024-08-02,0.0,36
L00277,Current,2024-12-29,4177.78,20
L00278,Current,2024-11-27,23775.0,15
L00279,Default,2024-07-26,10441.81,8
L00280,Current,2024-12-24,3718.75,33
L00281,Current,2024-12-26,2366.67,20
L00282,Charged Off,2024-07-31,1725.32,12
L00283,Fully Paid,2024-10-29,0.0,36
L00284,Current,2024-11-27,9262.5,22
L00285,Fully Paid,2024-12-01,0.0,36
L00286,Current,2024-12-04,725.0,21
L00287,Default,2024-07-21,2375.56,10
L00288,Current,2024-12-05,15358.33,17
L00289,Current,2024-12-08,6800.0,28
L00290,Late (90+ days),2024-11-20,3808.84,9
L00291,Current,2024-11-28,13379.17,10
L00292,Late (90+ days),2024-08-14,3942.64,2
L00293,Current,2024-12-17,19366.67,15
L00294,Current,2024-12-01,6095.0,37
L00295,Current,2024-12-07,186.11,35
L00296,Late (30-59 days),2024-09-03,6570.75,25
L00297,Current,2024-12-25,2150.0,33
L00298,Fully Paid,2024-08-15,0.0,36
L00299,Current,2024-12-23,13377.78,8
L00300,Default,2024-09-27,15532.8,5
L00301,Current,2024-12-01,3781.25,43
L00302,Current,2024-12-17,7250.0,26
L00303,Current,2024-12-26,516.67,44
L00304,Fully Paid,2024-09-20,0.0,36
L00305,Default,2024-07-15,6313.56,0
L00306,Default,2024-08-19,3936.56,1
L00307,Current,2024-12-15,14450.0,14
L00308,Current,2024-12-19,4400.0,12
L00309,Charged Off,2024-11-30,6031.12,15
L00310,Current,2024-12-31,10666.67,44
L00311,Current,2024-11-28,13786.67,13
L00312,Fully Paid,2024-11-01,0.0,24
L00313,Current,2024-11-28,8291.67,35
L00314,Charged Off,2024-11-30,8530.56,28
L00315,Current,2024-12-07,12808.33,7
L00316,Current,2024-12-18,1635.42,43
L00317,Current,2024-12-11,8213.33,32
L00318,Current,2024-12-05,23333.33,20
L00319,Fully Paid,2024-08-31,0.0,24
L00320,Current,2024-12-25,6812.5,9
L00321,Current,2024-12-22,3583.33,31
L00322,Current,2024-12-04,24525.0,9
L00323,Late (60-89 days),2024-07-05,14505.9,4
L00324,Late (30-59 days),2024-09-28,4106.23,37
L00325,Current,2024-12-15,5833.33,6
L00326,Fully Paid,2024-07-17,0.0,36
L00327,Current,2024-12-04,4391.67,19
L00328,Default,2024-07-10,7839.38,1
L00329,Current,2024-12-08,19055.56,8
L00330,Current,2024-12-14,15825.0,9
L00331,Current,2024-12-06,3120.0,12
L00332,Default,2024-10-10,2453.04,11
L00333,Current,2024-12-05,6412.5,30
L00334,Current,2024-11-26,7525.0,34
L00335,Default,2024-07-12,13473.37,6
L00336,Current,2024-12-01,11297.92,31
L00337,Late (90+ days),2024-10-17,12479.2,22
L00338,Current,2024-12-08,8416.67,21
L00339,Fully Paid,2024-07-11,0.0,36
L00340,Default,2024-07-12,9744.74,1
L00341,Default,2024-07-31,8802.08,16
L00342,Current,2024-12-15,17522.22,17
L00343,Current,2024-12-12,4995.83,26
L00344,Charged Off,2024-07-07,2236.75,16
L00345,Current,2024-12-09,300.0,47
L00346,Current,2024-12-06,5963.89,17
L00347,Current,2024-12-23,13590.0,6
L00348,Default,2024-11-01,4075.82,2
L00349,Current,2024-12-17,2727.08,41
L00350,Default,2024-08-09,6204.18,8
L00351,Current,2024-12-21,28665.0,11
L00352,Current,2024-12-25,2408.33,33
L00353,Late (60-89 days),2024-10-08,5576.16,8
L00354,Current,2024-11-29,1833.33,30
L00355,Charged Off,2024-08-21,2527.18,24
L00356,Current,2024-12-10,3666.67,24
L00357,Current,2024-11-26,4023.33,43
L00358,Current,2024-12-28,4305.56,31
L00359,Current,2024-12-21,14444.44,23
L00360,Default,2024-08-24,7309.51,4
L00361,Fully Paid,2024-11-30,0.0,36
L00362,Current,2024-12-26,10710.0,18
L00363,Current,2024-12-22,15761.67,11
L00364,Current,2024-12-01,5325.0,27
L00365,Current,2024-12-04,10000.0,6
L00366,Current,2024-12-26,8360.0,3
L00367,Default,2024-11-15,9281.31,5
L00368,Current,2024-12-15,833.33,47
L00369,Current,2024-12-17,15105.0,3
L00370,Current,2024-12-08,14227.78,10
L00371,Fully Paid,2024-11-11,0.0,24
L00372,Current,2024-12-29,25116.67,3
L00373,Default,2024-08-25,5914.93,16
L00374,Fully Paid,2024-08-21,0.0,24
L00375,Current,2024-11-28,1783.33,30
L00376,Current,2024-12-13,516.67,40
L00377,Current,2024-12-28,9233.33,40
L00378,Current,2024-12-20,11122.22,10
L00379,Fully Paid,2024-07-28,0.0,36
L00380,Current,2024-12-03,5977.08,29
L00381,Current,2024-12-31,4577.78,28
L00382,Current,2024-12-19,18366.67,7
L00383,Current,2024-11-28,9855.0,33
L00384,Late (30-59 days),2024-09-19,24937.2,19
L00385,Fully Paid,2024-10-13,0.0,24
L00386,Late (30-59 days),2024-11-23,11676.6,4
L00387,Current,2024-11-29,4066.67,30
L00388,Current,2024-11-28,11302.08,13
L00389,Current,2024-12-17,24818.75,15
L00390,Current,2024-12-21,9456.25,31
L00391,Default,2024-11-22,8067.97,14
L00392,Late (90+ days),2024-08-31,6510.46,28
L00393,Current,2024-12-16,20925.0,5
L00394,Current,2024-12-31,9255.56,19
L00395,Current,2024-12-21,2770.83,29
L00396,Fully Paid,2024-11-09,0.0,24
L00397,Fully Paid,2024-09-22,0.0,36
L00398,Current,2024-12-06,4430.56,25
L00399,Fully Paid,2024-09-02,0.0,36
L00400,Current,2024-12-06,24886.11,5
L00401,Default,2024-08-20,829.95,13
L00402,Fully Paid,2024-07-04,0.0,36
L00403,Current,2024-12-19,14770.0,18
L00404,Default,2024-07-22,1298.16,3
L00405,Current,2024-12-31,17000.0,19
L00406,Current,2024-12-27,16100.0,10
L00407,Fully Paid,2024-11-08,0.0,36
L00408,Current,2024-11-26,10633.33,40
L00409,Charged Off,2024-09-20,2066.41,24
L00410,Fully Paid,2024-07-11,0.0,36
L00411,Default,2024-07-05,7032.8,1
L00412,Fully Paid,2024-09-03,0.0,24
L00413,Default,2024-09-04,19259.84,6
L00414,Current,2024-12-14,23177.78,8
L00415,Default,2024-10-05,4579.97,4
L00416,Current,2024-12-19,2250.0,38
L00417,Current,2024-12-02,15043.75,19
L00418,Fully Paid,2024-08-20,0.0,36
L00419,Current,2024-12-31,650.0,45
L00420,Current,2024-12-15,4462.5,27
L00421,Default,2024-10-18,6414.19,2
L00422,Fully Paid,2024-08-19,0.0,36
L00423,Current,2024-11-29,7763.89,23
L00424,Current,2024-12-25,2350.0,33
L00425,Current,2024-11-26,3430.56,31
L00426,Current,2024-12-27,18987.5,3
L00427,Fully Paid,2024-07-26,0.0,36
L00428,Current,2024-12-13,22860.0,24
L00429,Current,2024-12-10,7150.0,10
L00430,Current,2024-12-24,10355.56,20
L00431,Current,2024-11-29,24587.5,6
L00432,Current,2024-12-15,3437.5,37
L00433,Default,2024-07-17,4391.89,17
L00434,Fully Paid,2024-07-07,0.0,36
L00435,Fully Paid,2024-09-28,0.0,24
L00436,Current,2024-12-03,14758.33,20
L00437,Fully Paid,2024-08-27,0.0,36
L00438,Current,2024-12-01,488.89,35
L00439,Default,2024-09-30,13090.69,14
L00440,Current,2024-12-10,11958.33,20
L00441,Current,2024-12-02,4002.08,31
L00442,Current,2024-12-02,2547.22,29
L00443,Fully Paid,2024-07-04,0.0,24
L00444,Current,2024-12-30,1816.67,40
L00445,Current,2024-12-01,13933.33,22
L00446,Current,2024-12-24,968.75,45
L00447,Current,2024-12-15,26620.0,16
L00448,Current,2024-12-27,1911.11,32
L00449,Current,2024-12-07,533.33,34
L00450,Default,2024-10-06,10470.37,7
L00451,Current,2024-12-17,4633.33,24
L00452,Fully Paid,2024-09-12,0.0,24
L00453,Current,2024-12-05,688.89,32
L00454,Current,2024-12-09,3311.11,32
L00455,Fully Paid,2024-07-22,0.0,36
L00456,Current,2024-11-27,32870.0,3
L00457,Default,2024-11-29,5334.73,13
L00458,Default,2024-09-25,12207.35,11
L00459,Current,2024-12-16,5744.44,25
L00460,Late (90+ days),2024-09-19,7017.2,14
L00461,Current,2024-12-26,3916.67,43
L00462,Current,2024-12-06,4861.11,29
L00463,Default,2024-09-05,7594.23,13
L00464,Current,2024-12-27,14941.67,4
L00465,Current,2024-11-26,8752.78,13
L00466,Current,2024-12-20,12675.0,21
L00467,Current,2024-12-01,11597.22,11
L00468,Current,2024-12-11,3330.56,25
L00469,Default,2024-09-02,4800.36,21
L00470,Fully Paid,2024-10-07,0.0,36
L00471,Default,2024-07-08,5133.41,17
L00472,Current,2024-12-14,661.11,35
L00473,Late (60-89 days),2024-10-16,8992.77,5
L00474,Default,2024-10-14,2816.19,9
L00475,Fully Paid,2024-07-27,0.0,36
L00476,Fully Paid,2024-10-11,0.0,24
L00477,Late (60-89 days),2024-10-02,6789.26,5
L00478,Current,2024-12-16,7800.0,18
L00479,Current,2024-12-15,12666.67,24
L00480,Current,2024-12-18,12833.33,26
L00481,Late (60-89 days),2024-10-04,19199.91,13
L00482,Current,2024-12-19,23761.67,7
L00483,Default,2024-09-29,3509.9,6
L00484,Late (90+ days),2024-09-01,29342.87,24
L00485,Default,2024-10-23,8850.26,2
L00486,Current,2024-12-25,7275.0,9
L00487,Current,2024-12-24,5583.33,35
L00488,Current,2024-12-26,3900.0,30
L00489,Current,2024-11-30,2425.0,44
L00490,Current,2024-12-31,8890.0,18
L00491,Current,2024-11-27,743.75,47
L00492,Current,2024-12-29,13800.0,12
L00493,Current,2024-12-01,9963.33,11
L00494,Late (60-89 days),2024-08-28,6719.31,21
L00495,Current,2024-12-11,6716.67,23
L00496,Current,2024-11-30,5050.0,18
L00497,Fully Paid,2024-07-07,0.0,36
L00498,Default,2024-09-22,2899.21,0
L00499,Default,2024-07-29,3722.18,7
L00500,Late (90+ days),2024-10-16,5789.66,3
L00501,Default,2024-07-24,6542.39,7
L00502,Default,2024-09-21,15882.42,1
L00503,Current,2024-12-06,1256.25,39
L00504,Late (60-89 days),2024-10-06,8675.44,17
L00505,Late (90+ days),2024-07-07,11503.28,7
L00506,Current,2024-12-23,5125.0,27
L00507,Current,2024-12-28,21725.0,3
L00508,Current,2024-11-28,11066.67,20
L00509,Current,2024-12-04,3861.11,26
L00510,Current,2024-12-01,10222.22,20
L00511,Current,2024-11-27,13750.0,28
L00512,Default,2024-11-23,6597.05,4
L00513,Current,2024-11-29,3045.0,39
L00514,Current,2024-12-09,3277.08,35
L00515,Default,2024-08-23,9470.08,10
L00516,Current,2024-12-20,14262.5,3
L00517,Current,2024-12-02,9208.33,22
L00518,Current,2024-12-24,5250.0,36
L00519,Current,2024-11-28,4500.0,6
L00520,Current,2024-12-02,16800.0,9
L00521,Fully Paid,2024-09-12,0.0,24
L00522,Current,2024-12-31,23666.67,20
L00523,Current,2024-12-31,15277.78,11
L00524,Current,2024-12-18,308.33,47
L00525,Fully Paid,2024-08-26,0.0,24
L00526,Late (90+ days),2024-07-06,4567.97,21
L00527,Late (60-89 days),2024-11-06,3262.55,21
L00528,Current,2024-12-11,10391.67,19
L00529,Current,2024-12-08,26444.44,8
L00530,Current,2024-12-15,12808.33,7
L00531,Current,2024-12-20,25025.0,3
L00532,Current,2024-11-26,2222.22,26
L00533,Current,2024-12-15,13066.67,16
L00534,Default,2024-10-02,10472.8,10
L00535,Current,2024-12-14,14062.5,18
L00536,Current,2024-12-01,2783.33,33
L00537,Current,2024-12-10,2619.44,13
L00538,Late (30-59 days),2024-08-30,6649.21,13
L00539,Fully Paid,2024-10-15,0.0,36
L00540,Late (90+ days),2024-07-27,8313.9,2
L00541,Current,2024-12-04,2912.5,42
L00542,Fully Paid,2024-10-09,0.0,24
L00543,Current,2024-12-05,8677.08,13
L00544,Current,2024-12-08,9120.0,3
L00545,Current,2024-12-08,17783.33,5
L00546,Current,2024-12-06,5162.5,6
L00547,Current,2024-12-14,2261.11,25
L00548,Current,2024-12-03,3747.92,41
L00549,Late (60-89 days),2024-10-16,5062.33,25
L00550,Current,2024-12-23,2975.0,27
L00551,Current,2024-12-17,12800.0,32
L00552,Current,2024-12-25,5936.67,34
L00553,Charged Off,2024-09-23,6408.57,13
L00554,Fully Paid,2024-10-02,0.0,36
L00555,Current,2024-11-26,541.67,44
L00556,Current,2024-12-04,5555.56,31
L00557,Current,2024-12-07,18975.0,15
L00558,Default,2024-10-12,3364.79,3
L00559,Fully Paid,2024-10-25,0.0,36
L00560,Late (30-59 days),2024-10-24,16381.94,15
L00561,Current,2024-12-01,22000.0,20
L00562,Current,2024-12-31,11287.5,5
L00563,Current,2024-12-20,10200.0,9
L00564,Current,2024-12-05,322.22,34
L00565,Current,2024-11-30,8296.67,22
L00566,Late (30-59 days),2024-10-28,12563.83,10
L00567,Default,2024-07-22,5020.24,9
L00568,Current,2024-11-27,2055.56,31
L00569,Fully Paid,2024-09-12,0.0,36
L00570,Current,2024-11-30,9166.67,3
L00571,Current,2024-12-12,400.0,47
L00572,Fully Paid,2024-09-28,0.0,24
L00573,Current,2024-11-26,11001.67,19
L00574,Late (90+ days),2024-07-09,3647.48,17
L00575,Fully Paid,2024-11-19,0.0,36
L00576,Current,2024-12-06,9647.22,13
L00577,Current,2024-12-25,6900.0,16
L00578,Current,2024-12-21,1566.67,44
L00579,Current,2024-12-28,9816.67,10
L00580,Default,2024-10-07,13369.37,13
L00581,Fully Paid,2024-09-27,0.0,24
L00582,Current,2024-12-01,7740.0,17
L00583,Fully Paid,2024-11-07,0.0,36
L00584,Late (60-89 days),2024-08-08,4399.6,11
L00585,Current,2024-12-10,25391.67,3
L00586,Default,2024-09-26,3676.05,4
L00587,Late (60-89 days),2024-08-31,3365.63,8
L00588,Current,2024-12-08,21025.0,7
L00589,Fully Paid,2024-07-11,0.0,24
L00590,Current,2024-11-26,10062.5,18
L00591,Current,2024-12-15,30000.0,6
L00592,Current,2024-12-09,9777.78,14
L00593,Late (60-89 days),2024-11-26,8938.52,15
L00594,Current,2024-12-05,26285.42,11
L00595,Current,2024-12-24,12398.33,17
L00596,Charged Off,2024-09-03,1272.37,18
L00597,Late (60-89 days),2024-10-12,4404.52,13
L00598,Default,2024-07-07,3621.84,3
L00599,Current,2024-11-27,5400.0,30
L00600,Current,2024-12-20,9956.67,31
L00601,Default,2024-09-20,18246.94,1
L00602,Current,2024-12-09,12813.33,29
L00603,Current,2024-12-11,8080.0,12
L00604,Current,2024-11-29,26475.0,15
L00605,Current,2024-11-30,34444.44,5
L00606,Default,2024-08-09,8067.78,13
L00607,Current,2024-12-26,5145.83,29
L00608,Late (90+ days),2024-08-26,16008.59,13
L00609,Fully Paid,2024-09-19,0.0,24
L00610,Current,2024-12-02,2333.33,28
L00611,Default,2024-10-25,3856.57,4
L00612,Current,2024-12-21,1385.42,29
L00613,Current,2024-12-10,6294.44,25
L00614,Current,2024-12-05,10220.83,26
L00615,Default,2024-07-08,4079.21,4
L00616,Default,2024-08-20,4060.22,5
L00617,Current,2024-12-27,3791.67,38
L00618,Default,2024-11-11,1203.12,6
L00619,Current,2024-12-21,3511.11,32
L00620,Current,2024-12-10,12096.67,22
L00621,Charged Off,2024-10-04,4186.31,26
L00622,Default,2024-09-12,2667.44,11
L00623,Fully Paid,2024-09-11,0.0,36
L00624,Late (30-59 days),2024-09-18,15018.5,16
L00625,Current,2024-12-14,5533.33,20
L00626,Late (90+ days),2024-08-22,9923.08,12
L00627,Current,2024-12-14,5471.67,11
L00628,Current,2024-12-03,6333.33,16
L00629,Current,2024-12-08,8452.78,19
L00630,Charged Off,2024-07-04,1600.51,28
L00631,Current,2024-11-28,2222.22,34
L00632,Current,2024-12-03,8131.67,19
L00633,Current,2024-12-05,22500.0,21
L00634,Default,2024-10-20,1722.86,1
L00635,Default,2024-10-15,7933.78,10
