loan_id,customer_id,origination_date,loan_amount,term_months,interest_rate,loan_grade,purpose
L00124,B00176,2021-07-06,12100,36,10.73,B,Debt Consolidation
L00125,B01144,2021-04-07,22700,36,13.15,C,Personal
L00126,B03511,2021-08-13,17700,60,21.38,E,Personal
L00127,B04063,2021-11-10,36000,36,17.16,D,Home Improvement
L00128,B00951,2024-07-09,14500,60,22.07,E,Personal
L00129,B04437,2021-11-24,11500,60,13.27,C,Vacation
L00130,B02745,2023-05-15,30100,36,13.83,C,Vacation
L00131,B00121,2024-05-06,17500,24,14.4,C,Vacation
L00132,B01921,2021-05-11,11200,60,21.42,E,Personal
L00133,B01685,2023-02-28,22500,36,9.58,B,Debt Consolidation
L00134,B00969,2023-02-21,7500,24,16.2,D,Personal
L00135,B03809,2024-05-05,12500,36,22.01,E,Personal
L00136,B03316,2023-08-17,18300,48,20.98,E,Debt Consolidation
L00137,B01105,2023-12-20,22500,48,17.2,D,Personal
L00138,B04390,2022-05-30,18800,60,16.94,D,Personal
L00139,B02506,2024-02-08,27300,60,24.67,F,Medical
L00140,B03885,2021-01-24,18800,60,21.17,E,Debt Consolidation
L00141,B00733,2021-08-23,10900,24,26.36,F,Personal
L00142,B01582,2024-01-05,11200,48,10.23,B,Home Improvement
L00143,B03680,2022-07-01,21900,36,13.23,C,Debt Consolidation
L00144,B03853,2024-08-05,21000,36,17.2,D,Debt Consolidation
L00145,B02428,2022-11-28,13200,60,16.24,D,Debt Consolidation
L00146,B00324,2021-08-17,12600,36,15.96,D,Debt Consolidation
L00147,B03700,2022-08-25,13000,60,20.84,E,Debt Consolidation
L00148,B02993,2023-06-10,11400,24,27.66,F,Business
L00149,B00362,2021-11-20,11000,60,17.0,D,Debt Consolidation
L00150,B02101,2023-07-19,7100,36,20.56,E,Auto
L00151,B04498,2021-01-07,26500,36,20.59,E,Medical
L00152,B01893,2022-06-24,7900,36,17.45,D,Home Improvement
L00153,B02755,2023-10-23,36500,36,18.11,D,Debt Consolidation
L00154,B01473,2022-01-01,37400,36,21.03,E,Personal
L00155,B01107,2023-11-06,7700,60,21.09,E,Debt Consolidation
L00156,B02427,2021-08-06,11700,48,18.77,D,Debt Consolidation
L00157,B01804,2024-07-04,29300,36,13.12,C,Personal
L00158,B02028,2022-09-04,25300,36,19.88,E,Home Improvement
L00159,B00081,2024-08-01,25100,36,10.61,B,Auto
L00160,B02969,2023-11-06,15100,36,20.9,E,Personal
L00161,B02542,2024-06-01,11700,48,13.48,C,Auto
L00162,B03740,2022-02-12,12800,36,18.36,D,Debt Consolidation
L00163,B02989,2021-11-10,33000,48,16.98,D,Debt Consolidation
L00164,B00325,2023-02-05,15800,24,10.45,B,Personal
L00165,B02362,2021-11-27,14300,48,12.54,C,Medical
L00166,B01235,2024-01-10,8600,48,21.52,E,Auto
L00167,B00103,2023-12-23,35600,36,14.1,C,Personal
L00168,B00747,2021-01-02,11700,60,15.06,C,Personal
L00169,B03692,2024-05-11,19200,48,15.52,D,Personal
L00170,B03486,2022-10-26,8800,48,14.03,C,Debt Consolidation
L00171,B01248,2023-09-28,18100,36,12.79,C,Personal
L00172,B03065,2021-02-09,16800,60,22.21,E,Home Improvement
L00173,B01720,2021-08-18,40000,48,15.85,D,Home Improvement
L00174,B02203,2023-01-14,4600,36,27.32,F,Medical
L00175,B03306,2022-09-22,11700,36,17.72,D,Auto
L00176,B02537,2022-05-06,3900,24,13.92,C,Debt Consolidation
L00177,B03486,2021-04-29,9000,36,7.6,A,Vacation
L00178,B01790,2022-05-09,21600,60,15.54,D,Debt Consolidation
L00179,B01765,2024-03-07,18900,36,14.75,C,Debt Consolidation
L00180,B03358,2021-06-11,12600,60,21.22,E,Business
L00181,B02998,2021-06-25,39600,36,22.68,E,Home Improvement
L00182,B00260,2023-09-23,20700,36,16.95,D,Auto
L00183,B01919,2021-05-22,23800,60,26.67,F,Debt Consolidation
L00184,B01787,2023-12-27,10100,24,10.62,B,Medical
L00185,B00100,2021-09-15,35100,48,7.24,A,Medical
L00186,B03906,2021-09-20,7800,60,12.8,C,Home Improvement
L00187,B02343,2024-09-13,25000,60,14.06,C,Personal
L00188,B03234,2023-09-01,30300,60,15.88,D,Business
L00189,B03250,2024-01-31,40000,60,17.17,D,Home Improvement
L00190,B00328,2021-12-05,20100,48,25.79,F,Home Improvement
L00191,B01352,2022-06-27,13600,36,26.66,F,Personal
L00192,B02812,2023-12-17,9200,48,10.74,B,Home Improvement
L00193,B02290,2024-05-27,29800,60,11.07,B,Business
L00194,B01366,2023-05-17,12000,36,17.73,D,Debt Consolidation
L00195,B03163,2022-03-10,5100,36,16.69,D,Home Improvement
L00196,B03100,2024-01-10,14200,48,12.75,C,Personal
L00197,B03703,2022-02-16,17800,48,11.74,C,Home Improvement
L00198,B01409,2022-10-01,32700,36,15.4,D,Debt Consolidation
L00199,B01511,2023-03-29,15400,48,17.63,D,Home Improvement
L00200,B00220,2024-08-23,21900,48,20.54,E,Medical
L00201,B02169,2023-02-04,27100,48,21.9,E,Personal
L00202,B03187,2023-06-17,12600,36,18.69,D,Debt Consolidation
L00203,B03240,2023-11-26,8400,36,20.64,E,Personal
L00204,B01270,2023-07-14,5300,48,21.52,E,Personal
L00205,B04376,2021-09-05,5000,48,26.21,F,Personal
L00206,B03818,2022-05-23,15800,36,27.51,F,Home Improvement
L00207,B00068,2022-04-06,8900,36,25.89,F,Debt Consolidation
L00208,B01672,2021-05-12,18700,36,13.3,C,Personal
L00209,B00743,2022-11-24,35800,36,25.51,F,Home Improvement
L00210,B02013,2021-02-13,11100,60,21.12,E,Home Improvement
L00211,B01706,2024-04-19,25700,48,12.57,C,Debt Consolidation
L00212,B01447,2024-02-09,16700,60,13.68,C,Debt Consolidation
L00213,B03070,2022-04-17,18900,36,14.73,C,Auto
L00214,B00291,2024-04-20,18900,36,21.56,E,Home Improvement
L00215,B03680,2022-03-28,14600,36,14.15,C,Debt Consolidation
L00216,B03911,2021-01-15,14300,48,12.7,C,Debt Consolidation
L00217,B00353,2021-05-26,14700,36,12.55,C,Debt Consolidation
L00218,B01264,2024-07-16,6000,48,21.83,E,Home Improvement
L00219,B01827,2021-05-01,11100,36,22.35,E,Personal
L00220,B04379,2022-04-14,14100,36,21.03,E,Debt Consolidation
L00221,B01606,2021-05-19,27600,36,16.73,D,Home Improvement
L00222,B03837,2021-03-06,9200,60,20.04,E,Debt Consolidation
L00223,B03399,2022-11-08,11300,36,14.3,C,Debt Consolidation
L00224,B03007,2021-05-26,9800,36,16.58,D,Medical
L00225,B01005,2023-11-19,13800,60,26.63,F,Personal
L00226,B02079,2022-05-03,11600,48,16.81,D,Auto
L00227,B02496,2022-07-25,6000,36,27.58,F,Debt Consolidation
L00228,B02262,2023-09-22,13100,36,20.32,E,Debt Consolidation
L00229,B03765,2022-03-15,6300,36,17.34,D,Home Improvement
L00230,B01738,2024-01-10,24400,48,21.3,E,Personal
L00231,B03097,2021-09-28,6600,48,26.83,F,Personal
L00232,B02445,2024-03-15,5300,36,20.83,E,Personal
L00233,B00337,2024-03-26,10400,60,21.19,E,Debt Consolidation
L00234,B02984,2023-08-27,12200,36,11.91,C,Home Improvement
L00235,B00968,2022-05-13,1000,36,12.61,C,Auto
L00236,B00672,2023-08-27,6400,60,15.76,D,Home Improvement
L00237,B01304,2023-04-14,40000,36,7.86,A,Debt Consolidation
L00238,B02671,2022-01-25,3400,60,17.53,D,Home Improvement
L00239,B02607,2021-07-13,5500,48,21.01,E,Auto
L00240,B01715,2021-07-18,9500,24,8.26,A,Debt Consolidation
L00241,B02596,2024-09-11,8100,36,21.84,E,Personal
L00242,B02971,2023-06-02,29900,36,12.97,C,Business
L00243,B03270,2022-12-27,36700,60,12.39,C,Home Improvement
L00244,B02602,2023-05-18,12400,36,12.16,C,Debt Consolidation
L00245,B00479,2023-04-22,10000,36,20.69,E,Personal
L00246,B00844,2023-08-15,10500,36,18.5,D,Debt Consolidation
L00247,B01626,2021-04-21,10700,48,22.2,E,Debt Consolidation
L00248,B01881,2024-08-31,40000,36,22.24,E,Debt Consolidation
L00249,B03652,2024-08-16,7200,24,20.86,E,Debt Consolidation
L00250,B02118,2021-07-21,40000,60,14.17,C,Medical
L00251,B00505,2021-05-05,27000,36,26.58,F,Auto
L00252,B00110,2023-04-05,8300,36,14.35,C,Debt Consolidation
L00253,B01406,2022-11-26,10400,48,22.21,E,Medical
L00254,B04493,2021-08-12,15000,60,14.15,C,Personal
L00255,B03481,2022-05-25,10000,24,26.2,F,Home Improvement
L00256,B00351,2022-01-28,6300,36,17.09,D,Debt Consolidation
L00257,B01558,2022-01-25,35900,24,16.68,D,Auto
L00258,B03043,2024-01-04,21200,24,13.21,C,Home Improvement
L00259,B02837,2023-07-08,17300,48,21.37,E,Debt Consolidation
L00260,B03629,2021-10-15,13900,48,21.08,E,Debt Consolidation
L00261,B02042,2023-05-15,9400,48,22.23,E,Debt Consolidation
L00262,B00111,2022-01-11,8100,36,13.99,C,Auto
L00263,B04305,2022-07-25,35100,60,27.89,F,Debt Consolidation
L00264,B01766,2023-08-06,13600,36,16.05,D,Home Improvement
L00265,B01202,2022-05-27,10200,60,16.12,C,Debt Consolidation
L00266,B02979,2021-06-04,31800,36,10.99,B,Personal
L00267,B02473,2023-06-27,37200,48,19.39,E,Home Improvement
L00268,B02376,2024-02-02,9300,36,20.87,E,Personal
L00269,B00011,2021-07-20,10500,36,17.29,D,Debt Consolidation
L00270,B02302,2021-04-14,9000,60,21.9,E,Debt Consolidation
L00271,B01590,2024-08-28,13500,36,11.4,C,Debt Consolidation
L00272,B01502,2024-01-13,8700,48,26.31,F,Personal
L00273,B00129,2021-01-31,40000,48,17.47,D,Debt Consolidation
L00274,B03604,2021-07-11,7000,48,16.85,D,Personal
L00275,B04196,2022-04-30,18400,48,17.18,D,Debt Consolidation
L00276,B00290,2021-12-07,13500,36,15.65,D,Business
L00277,B01677,2023-04-13,9400,36,16.35,D,Home Improvement
L00278,B01845,2023-09-22,31700,60,14.55,C,Debt Consolidation
L00279,B03636,2023-09-13,16900,36,16.52,D,Debt Consolidation
L00280,B02694,2022-03-14,11900,48,17.29,D,Debt Consolidation
L00281,B01828,2023-04-02,14200,24,25.54,F,Medical
L00282,B01371,2021-05-01,7500,36,20.66,E,Debt Consolidation
L00283,B03823,2021-12-04,38000,36,9.9,B,Auto
L00284,B00183,2023-02-16,17100,48,7.34,A,Home Improvement
L00285,B00351,2021-01-05,3700,36,16.91,D,Auto
L00286,B03587,2023-03-11,5800,24,23.0,E,Medical
L00287,B01402,2022-06-28,6100,36,26.87,F,Vacation
L00288,B02756,2023-07-21,29100,36,10.56,B,Debt Consolidation
L00289,B02850,2022-08-08,30600,36,14.15,C,Auto
L00290,B04436,2023-05-17,9500,36,16.22,D,Debt Consolidation
L00291,B03213,2024-02-13,16900,48,15.55,D,Debt Consolidation
L00292,B04207,2024-09-17,7600,36,17.07,D,Personal
L00293,B03968,2023-09-24,33200,36,16.87,D,Home Improvement
L00294,B03928,2021-11-14,15900,60,15.79,D,Personal
L00295,B03430,2022-01-24,6700,36,11.1,B,Business
L00296,B03489,2022-08-31,11900,60,21.14,E,Auto
L00297,B01896,2022-03-22,25800,36,21.17,E,Home Improvement
L00298,B02909,2021-04-30,5700,36,15.66,D,Personal
L00299,B01412,2024-04-01,17200,36,16.91,D,Debt Consolidation
L00300,B03383,2024-01-16,36500,36,17.6,D,Home Improvement
L00301,B01944,2021-05-05,36300,48,16.25,D,Personal
L00302,B04000,2022-10-05,26100,36,21.33,E,Personal
L00303,B03119,2021-04-28,6200,48,21.52,E,Medical
L00304,B00656,2021-04-13,12900,36,17.23,D,Debt Consolidation
L00305,B00350,2024-04-11,17900,24,16.09,D,Medical
L00306,B03999,2023-09-04,7000,48,26.27,F,Personal
L00307,B01144,2023-10-27,20400,48,18.18,D,Debt Consolidation
L00308,B00398,2023-12-24,6600,36,17.76,D,Home Improvement
L00309,B00646,2021-11-19,18600,24,22.76,E,Home Improvement
L00310,B04133,2021-04-27,40000,60,17.21,D,Home Improvement
L00311,B02235,2023-11-07,17600,60,17.02,D,Debt Consolidation
L00312,B02773,2021-06-14,31100,24,25.64,F,Personal
L00313,B01484,2022-01-16,19900,60,22.66,E,Debt Consolidation
L00314,B02235,2021-05-21,27600,36,16.39,D,Business
L00315,B01984,2024-05-03,14500,60,10.19,B,Medical
L00316,B01963,2021-05-20,15700,48,21.5,E,Home Improvement
L00317,B00810,2022-04-27,17600,60,17.37,D,Debt Consolidation
L00318,B03197,2023-04-07,40000,48,12.81,C,Personal
L00319,B04416,2021-09-03,20000,24,13.19,C,Personal
L00320,B00514,2024-03-12,10900,24,21.09,E,Medical
L00321,B00334,2022-05-20,25800,36,16.64,D,Debt Consolidation
L00322,B02513,2024-03-31,32700,36,16.24,D,Personal
L00323,B04096,2024-05-02,21400,36,21.89,E,Personal
L00324,B00008,2021-03-23,6400,60,22.18,E,Debt Consolidation
L00325,B02004,2024-06-22,7000,36,28.27,F,Debt Consolidation
L00326,B04260,2021-06-17,29600,36,13.9,C,Personal
L00327,B02129,2023-05-09,9300,36,9.52,B,Debt Consolidation
L00328,B01299,2024-09-08,12500,48,20.8,E,Vacation
L00329,B02947,2024-04-10,24500,36,20.51,E,Medical
L00330,B01845,2024-03-03,21100,36,17.5,D,Personal
L00331,B03612,2023-12-07,3900,60,11.1,B,Personal
L00332,B03066,2022-10-10,6800,60,17.94,D,Debt Consolidation
L00333,B01103,2022-06-19,17100,48,7.22,A,Medical
L00334,B00680,2022-02-23,25800,48,21.75,E,Home Improvement
L00335,B03370,2022-10-06,30400,36,22.13,E,Home Improvement
L00336,B04048,2022-05-04,31900,48,14.54,C,Medical
L00337,B02824,2022-06-28,21400,36,22.33,E,Debt Consolidation
L00338,B00010,2023-03-22,20200,36,17.46,D,Home Improvement
L00339,B04254,2021-09-26,14400,36,22.13,E,Personal
L00340,B02832,2024-08-14,31500,36,15.42,D,Debt Consolidation
L00341,B03948,2022-09-07,31500,36,14.13,C,Debt Consolidation
L00342,B04217,2023-07-26,33200,36,21.57,E,Personal
L00343,B02187,2022-10-10,10900,48,13.19,C,Personal
L00344,B00674,2021-05-29,7800,36,17.02,D,Debt Consolidation
L00345,B02028,2021-01-20,14400,48,17.13,D,Medical
L00346,B01457,2023-07-28,11300,36,19.97,E,Debt Consolidation
L00347,B00044,2024-06-26,15100,60,15.89,D,Home Improvement
L00348,B04194,2024-02-28,8400,24,25.63,F,Debt Consolidation
L00349,B03610,2021-07-24,18700,48,22.84,E,Debt Consolidation
L00350,B01895,2021-05-31,11400,48,20.69,E,Home Improvement
L00351,B03782,2024-01-07,35100,60,13.51,C,Home Improvement
L00352,B02287,2022-03-13,28900,36,17.2,D,Auto
L00353,B02572,2023-11-03,9800,36,26.69,F,Home Improvement
L00354,B01416,2022-06-28,11000,36,13.25,C,Debt Consolidation
L00355,B00009,2021-09-29,17200,36,17.69,D,Personal
L00356,B01863,2022-12-16,11000,36,17.2,D,Home Improvement
L00357,B01234,2021-05-21,14200,60,21.24,E,Debt Consolidation
L00358,B03126,2022-05-16,31000,36,13.92,C,Business
L00359,B02458,2023-01-27,40000,36,18.27,D,Personal
L00360,B00010,2022-08-07,15800,36,20.39,E,Debt Consolidation
L00361,B03005,2021-11-20,14500,36,21.23,E,Personal
L00362,B00268,2023-06-17,15300,60,17.1,D,Auto
L00363,B03862,2024-01-18,19300,60,16.98,D,Auto
L00364,B02715,2022-09-12,21300,36,14.0,C,Personal
L00365,B02642,2024-06-06,12000,36,12.87,C,Home Improvement
L00366,B03807,2024-09-01,8800,60,16.87,D,Auto
L00367,B01392,2023-12-20,20100,24,25.5,F,Personal
L00368,B01083,2021-01-17,40000,48,26.47,F,Personal
L00369,B00294,2024-09-29,15900,60,26.55,F,Personal
L00370,B04080,2024-02-10,19700,36,21.21,E,Debt Consolidation
L00371,B02836,2022-09-06,10700,24,9.74,B,Debt Consolidation
L00372,B04206,2024-09-20,27400,36,16.09,D,Business
L00373,B02155,2021-08-01,11100,60,16.3,D,Business
L00374,B02345,2021-10-03,29300,24,13.31,C,Auto
L00375,B03924,2022-06-26,10700,36,9.95,B,Home Improvement
L00376,B01855,2021-08-25,3100,48,26.68,F,Debt Consolidation
L00377,B03869,2021-08-08,27700,60,8.03,A,Home Improvement
L00378,B03791,2024-02-08,15400,36,12.52,C,Personal
L00379,B03033,2021-11-15,25900,36,26.29,F,Debt Consolidation
L00380,B00845,2022-07-12,15100,48,13.24,C,Auto
L00381,B01708,2022-08-01,20600,36,13.32,C,Personal
L00382,B02008,2024-05-23,22800,36,13.25,C,Personal
L00383,B01274,2022-03-08,21900,60,10.1,B,Business
L00384,B04435,2022-12-04,30700,36,26.29,F,Medical
L00385,B02105,2022-02-21,6400,24,7.69,A,Personal
L00386,B02968,2024-07-22,14900,36,10.71,B,Debt Consolidation
L00387,B04243,2022-06-25,24400,36,13.59,C,Business
L00388,B01213,2023-11-02,15500,48,7.04,A,Debt Consolidation
L00389,B02296,2023-09-28,36100,48,15.97,D,Home Improvement
L00390,B02198,2022-05-30,26700,48,13.63,C,Auto
L00391,B03285,2021-04-15,14100,48,16.99,D,Debt Consolidation
L00392,B02265,2021-07-09,8800,48,21.54,E,Personal
L00393,B01611,2024-07-23,24300,36,27.84,F,Home Improvement
L00394,B01419,2023-05-18,19600,36,17.41,D,Personal
L00395,B01787,2022-07-21,7000,48,16.9,D,Business
L00396,B04400,2021-04-01,16200,24,22.15,E,Auto
L00397,B03483,2021-01-08,13700,36,13.6,C,Debt Consolidation
L00398,B01878,2022-11-15,14500,36,26.88,F,Debt Consolidation
L00399,B02908,2021-09-25,16200,36,13.43,C,Business
L00400,B00380,2024-07-28,28900,36,11.7,C,Personal
L00401,B03301,2022-06-21,2600,48,16.8,D,Debt Consolidation
L00402,B00694,2021-11-27,12700,36,13.65,C,Personal
L00403,B03577,2023-06-24,21100,60,13.13,C,Debt Consolidation
L00404,B04146,2024-02-04,5200,36,21.76,E,Debt Consolidation
L00405,B01448,2023-05-26,36000,36,16.62,D,Personal
L00406,B02391,2024-02-23,27600,24,14.84,C,Home Improvement
L00407,B01756,2021-01-20,10700,36,17.14,D,Debt Consolidation
L00408,B03085,2021-08-18,31900,60,13.4,C,Personal
L00409,B01880,2021-06-04,13200,36,26.5,F,Medical
L00410,B02810,2021-11-02,13900,36,16.5,D,Personal
L00411,B00848,2024-01-23,10800,36,22.22,E,Home Improvement
L00412,B02972,2021-03-15,13500,24,20.83,E,Personal
L00413,B04062,2023-01-27,29000,36,27.61,F,Personal
L00414,B01196,2024-04-07,29800,36,14.28,C,Auto
L00415,B01513,2024-02-06,12700,36,25.87,F,Debt Consolidation
L00416,B03903,2021-10-31,10800,48,16.09,D,Debt Consolidation
L00417,B03321,2023-05-31,24900,48,12.92,C,Personal
L00418,B02458,2021-09-19,26300,36,14.46,C,Debt Consolidation
L00419,B03463,2021-03-27,10400,48,13.29,C,Home Improvement
L00420,B03451,2022-09-24,10200,48,25.38,F,Debt Consolidation
L00421,B00227,2023-01-17,22500,48,27.15,F,Debt Consolidation
L00422,B01808,2021-03-23,32000,36,10.98,B,Home Improvement
L00423,B04309,2023-01-03,21500,36,17.36,D,Medical
L00424,B00419,2022-03-07,28200,36,14.73,C,Personal
L00425,B01876,2022-05-27,24700,36,21.81,E,Debt Consolidation
L00426,B03156,2024-09-27,21700,24,27.28,F,Medical
L00427,B00919,2021-07-30,21000,36,21.16,E,Home Improvement
L00428,B04055,2022-12-26,38100,60,26.69,F,Debt Consolidation
L00429,B03819,2024-02-21,9900,36,22.22,E,Home Improvement
L00430,B04272,2023-04-13,23300,36,9.32,B,Debt Consolidation
L00431,B02632,2024-06-25,28100,48,21.22,E,Home Improvement
L00432,B03675,2021-11-13,15000,48,16.9,D,Auto
